s	o
https://cso.kmi.open.ac.uk/topics/computability	http://dbpedia.org/resource/Computability
https://cso.kmi.open.ac.uk/topics/computability_and_decidability	http://www.wikidata.org/entity/Q818888
https://cso.kmi.open.ac.uk/topics/computability	http://www.wikidata.org/entity/Q818888
https://cso.kmi.open.ac.uk/topics/computability_and_decidability	http://rdf.freebase.com/ns/m.028_6q
https://cso.kmi.open.ac.uk/topics/computability	http://rdf.freebase.com/ns/m.028_6q
https://cso.kmi.open.ac.uk/topics/model_checking	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model-checking	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/symbolic_model_checking	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checking_problem	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checking_algorithm	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model-checking_techniques	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checker	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/probabilistic_model_checking	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checkers	http://dbpedia.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checking	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model-checking	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/symbolic_model_checking	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model_checking_problem	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model_checking_algorithm	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model-checking_techniques	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model_checker	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/probabilistic_model_checking	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model_checkers	http://www.wikidata.org/entity/Q1569697
https://cso.kmi.open.ac.uk/topics/model_checking	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model-checking	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/symbolic_model_checking	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model_checking_problem	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model_checking_algorithm	http://rdf.freebase.com/ns/m.01vjk8
